# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	720
#@/user_id	3f58877e-a7cc-40cc-b9f8-dce6e53b0ed7
a 	啊	c=4 d=3.03386 t=720
ti gong 	提供	c=1 d=0.45612 t=720
ti huan 	替換	c=1 d=0.113611 t=720
ti huan qi zhong 	替換其中	c=1 d=0.0925506 t=720
ti jiao 	提交	c=1 d=0.118837 t=720
ti shi 	提示	c=1 d=0.199888 t=720
ti xi 	體系	c=0 d=0.106253 t=720
tian tian 	田甜	c=1 d=0.704688 t=720
tiao shi 	調試	c=3 d=0.322929 t=720
tong guo 	通過	c=5 d=1.34447 t=720
tong guo chong xin 	通過重新	c=1 d=0.436049 t=720
tong yi 	同意	c=1 d=0.0898153 t=720
tou chuan 	透傳	c=1 d=0.0720785 t=720
wan quan 	完全	c=1 d=0.843665 t=720
wang pan 	網盤	c=1 d=0.0804596 t=720
wang ye 	網頁	c=1 d=0.0808629 t=720
wang zhan 	網站	c=1 d=0.0620385 t=720
wei 	爲	c=0 d=0.0286505 t=720
wei jie jue 	未解決	c=1 d=0.554327 t=720
wei ren min fu wu 	爲人民服務	c=1 d=0.286505 t=720
wei she hui zhu yi fu wu 	爲社會主義服務	c=1 d=0.287941 t=720
wei yu 	位於	c=1 d=0.26982 t=720
wen dang 	文檔	c=2 d=0.251057 t=720
wen jian 	文件	c=6 d=3.25051 t=720
wen ti 	問題	c=12 d=3.0474 t=720
wen zi 	文字	c=0 d=0.00702988 t=720
